년도,사업명(위치),수거물량 실적(톤),정화면적 실적(ha),사업기간
2018,보령시 보령항,65.59,3212,6.25~9.22
2018,사천시 삼천포항,69.29,23,3.16~5.14
2018,포항시 포항항,67.75,2325,6.19~8.17
2018,창원시 마산항,51.72,400,6.29~8.27
2018,창원시 진해항,61.6,500,3.16~7.15
2018,서산시 대산항,47.24,1458,6.27~8.25
2018,서천군 장항항,88.43,200,3.16~7.20
2018,속초시 속초항,109.81,37.5,3.16~5.14
2018,거제시 장승포항,113.94,15,3.16~5.14
2018,제주시 한림항,115.82,30.8,6.19~8.17
2018,인천시 인천항,240.99,945,8.10~11.7
2018,태안군 태안항,39.31,430,8.10~10.8
2018,완도군 완도항,20.64,21,10.19~12.7
2018,제주시 제주항,108.3,31.1,8.10~11.7
2018,제주시 추자항,45.84,26.3,8.10~11.7
2018,제주시 서귀포항,174.96,16.8,10.18~12.26
2018,대흑산도항,221.74,51.85,19.2.19~'19.4.26
2018,성산포항,149.75,6.8,19.2.19~'19.4.19
2018,하동마도 주변,30.98,340,10.19~12.7
2018,목포북항,155.89,12.94,11.16~12.31
2018,여수 소호동 주변 ,110.59,443,11.16~12.31
2018,신안군 가거도 주변,22.76,11.6,11.15~12.31
2018,신안군 홍도항,35.63,20.3,11.15~12.31
2018,여수 가막만 주변,247.9,108.39,10.19~12.7
2018,목포시 목포항,71.76,9.2,10.19~12.7
2018,강릉시 주문진항,47.83,25.79,10.19~12.7
2018,통영시 중화항,18.06,8,11.16~12.25
2018,고흥군 녹동신항,8.83,4.9,11.15~12.31
2017,평택 당진항,60.54,730,6.23 ~ 9.10
2017,인천 시화호,77.45,650,6.21 ~ 12.3
2017,강릉 주문진항,114.43,26,7.10 ~ 9.7
2017,창원 마산만,58.82,203,6.19 ~ 8.17
2017,거제 고현항,80.12,457.8,6.27 ~ 8.25
2017,전남 광양항,105.97,1630,7.3 ~ 9.10
2017,여수 가막만,234.72,109,9.14 ~ 12.2
2017,태안 안흥외항,456.29,53,3.10 ~ 5.18
2017,인천 무의도,65.09,20.2,1.31 ~ 3.16
2017,장흥 삼산방조제,165.26,520,"5,22 ~ 7.20"
2017,서천 서면,59.87,2468,7.26 ~ 9.13
2017,"전북 방축도, 관리도",79.98,568,7.28 ~ 9.25
2017,영암 삼포리,115.31,205,7.26 ~ 12.31
2017,홍성 천수만,66.81,523.4,7.24 ~ 9.11
2017,보령 대천항,59.76,74.9,7.31 ~ 9.18
2017,경남 통영항,644.23,158.1,8.7 ~ 12.4
2017,부산남항,148.1,9,11.3 ~ 12.22
2017,통영 동호항,304.95,79,11.8 ~ 12.27
2017,전남 목포항,81.99,10,11.6 ~ 12.20
2016,경남 통영항(강구안) ,475.82,10,7.11 ~ 9.23
2016,전남 가막만(국동항) ,357.1,124,7.15 ~ 9.12
2016,부산항 ,328.65,20.8,7.18 ~ 9.15
2016,경남 신수항 ,41.35,12,10.20 ~ 11.18
2016,경남 삼천포항 ,38.11,10,9.20 ~ 10.19
2016,경남 옥포항 ,40.49,96.5,7.11 ~ 9.08 
2016,충남 서천항 ,76.68,487.6,8.05 ~ 9.18
2016,충남 비인항 ,157.04,350.5,8.10 ~ 9.23
2016,부산시 감천항 ,193.14,57,11.17 ~ 12.31
2016,경남 통영 동호항 ,342.56,111.5,11.17 ~ 12.31
2016,경북 포항 양포항,131.84,55,11.24 ~ 12.31
2016,"전남 완도 넙도, 마안도",751.04,3.95,11.25 ~ 12.31
2016,신안 대태이도 주변해역,63.84,600,8.24.~10.22.
2016,군산 (관리도 소야미도) 주변해역,38.59,35,8.12.~10.10.
2016,태안 북격렬비도 주변해역,16.02,4,8.12.~10.20.
2016,군산 비안도 주변해역,67,564.2,11.07.~12.28.
2016,고성 안장섬 주변해역,32.36,210,11.07.~12.21.
2016,군산 어청도 주변해역,128.26,40,11.08.~12.22.
2016,목포항 (모니터링),47.25,10,11.07.~12.21.
2015,영종도 불법어구 수거사업,70.92,1503,04.14~06.12
2015,강릉 주문진항,131.06,29,09.07~11.05
2015,고흥 녹동구항,95.39,17,09.01~10.30
2015,제주 추자항,55.44,12,09.07~11.05
2015,여수 거문도항,25.2,16,09.04~11.02
2015,거제 구조라항,38.08,17,10.01~11.29
2015,전북 비응항,440.17,20.4,10.21~12.04
2015,전북 군산항,91.33,779,10.21~12.04
2015,경남 장승포항,118.51,23,10.26~12.09
2015,평택 당진항,9.78,62,10.21~12.24
2015,전남 송공항,34.8,124,10.21~12.04
2015,통영 형제도,115.8,36.5,11.23~12.27
2015,"군산 (무녀도, 선유도)",668.14,34.6,11.23~12.30
2015,독도 주변해역 분포 및 실태조사,4.29,1640,06.03~08.31
2015,인천 선진포항(용기포항),13.71,3.8,10.26~12.09
2015,인천 장봉도갯벌,52.32,570,10.26~12.09
2015,경북 울릉항,29.07,33,10.26~12.09
2015,제주 서귀포항,222.12,15.8,10.26~12.09
2015,제주 제주항,74.12,9.2,10.26~12.09
2015,신안 우이도항,125.52,190,11.16~12.31
2015,신안 전장포항,184.03,8,11.16~12.31
