생태구역,일별처리량,시설용량(톤/일)(A),유입BOD(mg/L)평균,방류BOD(mg/L)평균,"평균
처리효율
(%)",유입COD(mg/L)평균,방류COD(mg/L)평균,유입SS(mg/L)평균,방류SS(mg/L)평균,유입T-N(mg/L)평균,방류T-N(mg/L)평균,유입T-P(mg/L)평균,방류T-P(mg/L)평균,방류대장균군수(개/mL)평균,년
대한해협,5068.634220263846,7615.384615384615,377.63972339307685,3.0536427599230764,0.9358096763653846,240.51667281346153,10.095590241269234,181.49729188615387,3.2137251992884615,43.005773262307684,7.361591957961537,5.808366461173078,0.19356262171153846,185.11884622653847,2015
동해,721.9191780828571,2221.4285714285716,1517.0,3.1142857142857143,0.9947586904285713,689.7857142857143,13.581428571428571,760.1714285714286,2.3757142857142854,187.8302857142857,10.212714285714286,31.342142857142854,0.5314285714285714,94.14285714285714,2015
서남해역,5304.519663942774,8584.838709677419,350.0125320370968,3.724613345129032,0.9145670540000002,268.18718515161294,11.431347768387095,309.3290057451613,3.6551391957419352,42.76479867419356,10.6201015466129,6.957486257193548,0.5452766239354838,120.64269553677418,2015
서해중부,6157.83116041823,9800.103092783505,298.4584061860826,4.16022601856701,0.9758748351546391,181.578498408866,10.217168560092786,183.55797239123714,3.53325190428866,40.247411770618555,8.85174712730928,5.630099527350517,0.42957002305154646,129.5135763302062,2015
제주,3958.3624999999997,4883.875,78.17083333333333,4.947916666666665,90.11675656937503,61.95416666666666,8.906250000000002,132.60930230000008,7.661627907000006,34.306812500000014,12.033312500000001,4.1674999999999995,1.3325833333333332,76.86041666666667,2015
대한해협,2060.8624999999997,8126.666666666667,319.69857473125,2.6290744535416666,0.9476875000000002,219.6438046458334,9.615932377041663,220.58458788750002,3.044075250458333,46.74072012750002,6.9343305669375015,5.467646550541666,0.17745332422916668,288.79405737708333,2016
동해,2977.285714285714,2221.4285714285716,1523.8857142857144,2.057142857142857,0.9967142857142858,733.9571428571429,11.114285714285714,818.4714285714286,2.7285714285714286,164.31,8.072142857142856,29.399714285714282,0.40914285714285714,84.78571428571429,2016
서남해역,7326.636363636364,7763.636363636364,314.5943333333334,3.2899403874848487,0.9364242424242425,186.8394850139394,9.810298062727274,241.44155944545446,3.069986156636363,49.177265717272725,9.690438067848484,6.791982912909092,0.4893507511212123,82.8343763869697,2016
서해중부,6793.58,9444.6,289.55606592619995,3.5179261225900005,0.9767099999999992,192.7378536102,9.883923496899998,207.19243072865004,2.9351019081199996,42.56260818509999,7.962069311869999,5.3083482534499975,0.26570010856000004,144.96434657493992,2016
제주,4130.75,4883.979166666667,89.51458333333333,4.872916666666666,91.84911410958334,50.47083333333335,9.247916666666667,132.60930230000008,7.661627907000006,32.16706249999999,12.5465,4.156583333333334,1.3297708333333336,183.02083333333334,2016
대한해협,4876.070015295926,7389.444444444444,273.7708888888889,2.317944921148149,0.9498772306481479,165.7960270648149,8.737063912648148,173.69510541296296,2.425879741574074,40.92386609685185,6.66125534188889,4.655069800574074,0.1612039805925926,218.3033112490741,2017
동해,650.50547945875,1971.25,1471.6963112499998,1.80558823525,0.9963080285,727.4574461250002,10.179448529375001,725.314424125,1.9902819043750002,145.746346575,7.19756159725,24.320630259999998,0.32369755662499994,80.04578431375,2017
서남해역,5309.478704946152,7763.636363636364,288.33563104181815,3.5869001846666664,0.9516575058484849,186.12704029545452,9.962702020303032,271.4984647545453,3.251556152939394,45.89817658030303,9.605931576424242,8.980074467818183,0.41233836484848474,155.08382535030302,2017
서해중부,6382.402383334125,9433.59223300971,305.7927382289319,2.7263678471165047,0.9833050159417477,196.4337126070874,9.670421753300971,256.40872527191254,3.0480868359611653,45.88737643398057,8.10063528298058,5.761483011019418,0.23630615465048532,124.17135767061167,2017
제주,4411.7195652173905,5279.630434782609,123.64999999999999,4.767391304347827,95.15869565217396,58.467391304347814,9.389130434782611,132.70434782608697,5.115217391304347,36.155239130434786,12.124195652173912,10.072521739130433,1.380608695652174,336.80434782608694,2017
대한해협,4765.481051481112,6843.148148148148,276.5164835388704,2.397674887648148,0.9424389558148148,174.947574707463,8.590316386203703,175.64642451340745,2.391841894944445,44.019586099592594,6.785623975203705,5.007747202111112,0.12176287722222218,127.6849487715,2018
동해,704.0618082433334,2052.222222222222,1343.3770319777777,2.1077233166666667,0.9958123283333333,600.3551144666667,8.747402625555555,664.6517811222221,1.897920993,142.81427510444445,6.960695984666667,21.811069081444444,0.24656268777777773,88.65741897644443,2018
서남해역,5843.547135066487,8102.7027027027025,210.0656970837027,2.7069021773513513,0.9604273732162162,155.6275136902703,9.841486677135137,338.4085131728919,2.998487597945946,42.289881599540536,9.964643099864867,6.274525289378377,0.3912570684324324,243.07787224262157,2018
서해중부,6005.707681216021,9719.074074074075,292.48240929314824,2.668403334398148,0.9738382859537039,165.17598440305554,9.359734006222217,205.8755618774074,3.35175837225926,40.16096242052777,7.952197802731482,5.261959752555556,0.2465746326388889,132.4029643136111,2018
제주,5527.950000000001,6054.775,121.56249999999997,8.255,92.86499999999998,62.942499999999995,14.280000000000001,132.49999999999997,10.589999999999998,35.44084999999999,15.26415,8.282725000000003,1.7449749999999997,415.0,2018
